preflabel,definition,notation,altlabel,related
monument,,monument,,
control,,control,,
sideshot,,sideshot,,
boundary,,boundary,,
natural boundary,,natural-boundary,,
traverse,,traverse,,
reference,,reference,,
administrative,,administrative,,
unmarked boundary,,unmarked,,
occupation,,occupation,,
survey,,survey,,
Unknown,,unknown,,
Other,,other,,
