preflabel,definition,notation,altlabel,related
0,National reference frame,0,,
1,National deformation monitoring,1,,
2,Regional deformation monitoring,2,,
3,,3,,
4,Local deformation monitoring,4,,
5,Cadastral horizontal control. Basic geospatial network,5,,
6,Cadastral permanent reference marks. Cadastral witness marks,6,,
7,Class A boundary marks,7,,
8,Class B boundary marks,8,,
9,Class C boundary marks,9,,
10,,10,,
11,,11,,
12,,12,,
