preflabel,definition,notation,altlabel,related
Deposited Plan,"A cadastral survey plan or dataset that has been prepared under the Land Transfer Act and has had new titles created.",dp,,
LT Plan (except Unit Plans),"Land Transfer Plan is a plan prepared under the Land Transfer Act but has not yet had new titles created.",ltp,,
LT Unit Plan,"An LT Unit Plan is a plan prepared under the Unit Titles Act showing show the location of the units, auxiliary units and common areas.",ltup,,
Survey Office Plan,"A Survey Office Plan is prepared for surveys of land held under Crown ownership",so,,
Māori Land Plan,"A Māori Land Plan is prepared for the sudivision or partition of Māori land",mlp,,
Historical Survey,"Types of surveys included for historical purposes. Not to be used for new surveys.",hs,,
