preflabel,definition,notation,altlabel,related
GDA2020 / MGA zone 54,,7854,MGA2020_Zone54,
GDA2020 / MGA zone 55,,7855,MGA2020_Zone55,
GDA94 / MGA zone 54,,28354,MGA94_Zone54,
GDA94 / MGA zone 55,,28355,MGA94_Zone55,
