preflabel,vicnames id
LITCHFIELD,101858
BEECHWORTH,100325
WOORAGEE,103411
WYCHITELLA,103439
WYUNA EAST,103446
PEECHELBA EAST,102476
LAKE MARMAL,101765
BOORHAMAN NORTH,100451
CORNISHTOWN,100845
CHILTERN,100742
BANGERANG,100262
GEORGES CREEK,101237
BULLIOH,100557
JARVIS CREEK,101562
BOORHAMAN EAST,100450
INDIGO VALLEY,101527
BERRINGAMA,100360
BARANDUDA,100268
TEDDYWADDY WEST,102975
NHILL,102345
CASTLE CREEK,100701
SHEPPARTON NORTH,102743
KELLALAC,101632
LONDRIGAN,101877
KORONG VALE,101716
LEMNOS,101824
WANGARATTA,103214
MOOROOPNA NORTH WEST,102140
SKINNERS FLAT,102756
YARRAWALLA,103482
WATCHEM WEST,103254
SHELLEY,102739
CHILTERN VALLEY,100743
PEECHELBA,102475
MOLOGA,102103
GRANITE FLAT,101359
KILLAWARRA,101663
TALLANGATTA VALLEY,102917
YANAC,103462
KATAMATITE EAST,101617
NETHERBY,102325
KATAMATITE,101616
ESMOND,101126
THALIA,102995
WATCHEM,103253
NAREEWILLOCK,102283
CORACK EAST,100837
CRYMELON,100896
SERVICETON,102724
DONALD,100990
BOORHAMAN,100449
AREEGRA,100190
BORALMA,100456
BOWEYA NORTH,100465
WAGGARANDALL,103174
KATANDRA,101618
BUNGEET WEST,100578
COSGROVE,100852
GILLIESTON,101251
DIGGORA,100975
ZEERUST,103508
KYVALLEY,101738
LANCASTER,101782
TENNYSON,102985
STRATHALLAN,102852
LAKE ROWAN,101770
KIEWA,101658
BARRAKEE,100286
BORUNG,100459
YACKANDANDAH,103450
MARIONVALE,101960
BYAWATHA,100612
BIGGARA,100383
CONGUPNA,100817
KILLARA,101661
HUON CREEK,101518
YEUNGROON EAST,103496
MERRIGUM,102029
TAMINICK,102924
ARDMONA,100189
YUNDOOL,103505
BUNGEET,100577
FERNIHURST,101163
THOWGLA VALLEY,103015
HUON,101516
COLAC COLAC,100804
YOUANMITE,103502
BAMAWM EXTENSION,100258
DRUMANURE,101018
WUNGHNU,103433
CORRYONG,100850
MAJOR PLAINS,101933
EAST WANGARATTA,101065
DOOKIE,100997
WALDARA,103181
POMPAPIEL,102526
WALLUP,103196
MILLOO,102053
ROCHESTER,102637
SHEEP HILLS,102734
WOOLSHED FLAT,103408
FAIRY DELL,101149
PINE LODGE,102500
THOONA,103008
BALLENDELLA,100243
LILLIMUR,101841
WOOSANG,103422
BOOLITE,100445
POWLETT PLAINS,102552
COONOOER WEST,100830
MURMUNGEE,102230
STANLEY,102826
KINYPANIAL,101685
KIALLA EAST,101655
COOMA,100823
WINTON NORTH,103365
WANGANDARY,103212
GRAHAMVALE,101355
LAWLER,101812
GLENALBYN,101275
RAYWOOD,102587
DOCKER,100984
AVON PLAINS,100214
BARWIDGEE,100293
KURRACA WEST,101730
KURRACA,101729
MURTOA,102245
BOBINAWARRAH,100413
KEWELL,101652
GLEN CREEK,101262
BLACKHEATH,100403
BURNEWANG,100590
BUCKRABANYULE,100537
JARKLIN,101560
BUNBARTHA,100562
ALMONDS,100150
TANGAMBALANGA,102929
NARIEL VALLEY,102285
ST JAMES,103630
COOMBOONA,100824
LUCYVALE,101899
BAMAWM,100257
LOCKINGTON,101869
AUBREY,100208
CANNUM,100648
WEDDERBURN,103277
LAEN NORTH,101748
WANGARATTA SOUTH,103215
TALLANDOON,102913
MOOROOPNA,102138
SERPENTINE,102723
JEFFCOTT,101566
SANDY CREEK,102694
KERGUNYAH,101643
NORTH WANGARATTA,102378
KIATA,101657
GIL GIL,101249
MOUNT BRUNO,102159
BOWSER,100467
BEARS LAGOON,100317
TIMMERING,103021
BOXWOOD,100472
DEVENISH,100965
MOOROOPNA NORTH,102139
KYABRAM,101733
BYRNESIDE,100615
MIRAM,102069
MOUNT MAJOR,102191
TATURA,102964
ARCADIA SOUTH,100180
MERRIANG SOUTH,102025
GRE GRE NORTH,101370
ST ARNAUD NORTH,102810
BRIDGEWATER,100492
LURG,101900
GOROKE,101344
ROSEWHITE,102655
WHOROULY SOUTH,103324
GOWAR EAST,101352
SLATY CREEK,102761
GLENROWAN WEST,101311
MINYIP,102066
LAWLOIT,101814
FIERY FLAT,101167
CHESNEY VALE,100735
