preflabel,definition,notation,altlabel,related
Unsurveyed Dimensions,,unsurveyed-dimensions,,
Parcel and area derived,,parcel-derived,,
Transfer of Land (Survey) Regulations 1995 Exemption,,transfer-of-land-exempt,,
Public Acquisition,,public-acquisition,,
Total Subdivided Area,,total-area,,
Special Survey Area Guidelines,"Survey carried out under Reg 26a Special Survey Areas, Licensed Surveyors (General Surveying Practice) Regulations 1961",r-26a,,
Information priority, Survey plan note stating survey sheet information has priority,sp,,
Surveyed Dimensions,"Description of method for deriving dimensions contained in the data and on related survey plans",surveyed-dimensions,,
