preflabel,definition,notation,altlabel,related
Tolmie TP,,5785,,
Barkly TP,,5043,,
Benambra TP,,5067,,
Apsley TP,,5015,,
Ruffy TP,,5686,,
Baringhup TP,,5042,,
Maldon TP,,5493,,
Granite Flat TP,,5345,,
Kooyoora TP,,5431,,
Jerro TP,,5399,,
Colbinabbin TP,,5187,,
Longerenong TP,,5474,,
Kaniva TP,,5404,,
Mooroopna TP,,5549,,
Cravensville TP,,5208,,
Serpentine TP,,5708,,
Lillimur South TP,,5464,,
Nariel TP,,5575,,
Murra Warra TP,,5563,,
Stanhope TP,,5728,,
Gooroc TP,,5336,,
Kialla West TP,,5415,,
Dederang TP,,5234,,
Kurraca TP,,5437,,
Winton TP,,5867,,
Whorouly TP,,5856,,
Wail TP,,5818,,
Runnymede TP,,5687,,
Raywood TP,,5667,,
Everton TP,,5289,,
Wedderburn TP,,5845,,
Cooma TP,,5191,,
Tatura TP,,5773,,
Minyip TP,,5533,,
Benalla TP,,5066,,
East Murchison TP,,5262,,
Korokubeal TP,,5432,,
Mangalore TP,,5498,,
Walmer TP,,5823,,
Moonambel TP,,5547,,
Toolondo TP,,5793,,
Mia Mia TP,,5527,,
Wombelano TP,,5870,,
Hinno-Munjie TP,,5381,,
Seymour TP,,5711,,
Bingo-Munjie North TP,,5083,,
Redesdale TP,,5670,,
Castlemaine TP,,5163,,
Stawell TP,,5730,,
Piries TP,,5638,,
Great Western TP,,5351,,
Vaughan TP,,5813,,
Tarilta TP,,5763,,
Talbot TP,,5755,,
Moyston TP,,5556,,
Jamieson TP,,5395,,
Pigeon Ponds TP,,5635,,
Kilmore TP,,5420,,
St. Arnaud TP,,5692,,
Murtoa TP,,5566,,
Burkes Flat TP,,5136,,
Dooen TP,,5248,,
Leichardt TP,,5458,,
Arnold TP,,5019,,
Molyullah TP,,5545,,
Rheola TP,,5673,,
Sunnyside TP,,5745,,
Karnak TP,,5408,,
Strathbogie TP,,5738,,
Glen Wills TP,,5329,,
"Eaglehawk, at (Sandhurst)",,3473B,,
Goldsborough TP,,5332,,
Costerfield TP,,5201,,
Eddington TP,,5265,,
Wonwondah North TP,,5873,,
Bromley TP,,5115,,
Heathcote TP,,5373,,
Nurrabiel TP,,5610,,
Pollard TP,,5643,,
Jarrott TP,,5397,,
White Hills TP,,5854,,
Marong TP,,5505,,
Lower Emu TP,,5480,,
Emu TP,,5281,,
Neuarpur TP,,5587,,
Moliagul TP,,5544,,
Huntly TP,,5389,,
Marnoo TP,,5504,,
Mitchellstown TP,,5538,,
Wonwondah East TP,,5872,,
Avenel TP,,5022,,
Navarre TP,,5581,,
Ravenswood TP,,5665,,
Betley TP,,5080,,
Tarnagulla TP,,5765,,
Wandiligong TP,,5826,,
Booroopki TP,,5101,,
Tallarook TP,,5759,,
Tongio-Munjie TP,,5787,,
Smythesdale TP,,5721,,
Campbells Creek TP,,5145,,
Sutton Grange TP,,5746,,
Harcourt TP,,5366,,
Bowenvale TP,,5104,,
Wareek TP,,5832,,
Landsborough TP,,5451,,
Alma TP,,5008,,
Lower Homebush TP,,5481,,
Maryborough TP,,5508,,
Carisbrook TP,,5154,,
Homebush TP,,5384,,
Gobur TP,,5330,,
Clunes TP,,5178,,
Metcalfe TP,,5525,,
Bung Bong TP,,5132,,
Green Gully TP,,5353,,
Craigie TP,,5206,,
Elphinstone TP,,5278,,
Toolleen TP,,5792,,
Horsham TP,,5386,,
"Bendigo, at (Sandhurst)",,3473A,,
Bright TP,,5110,,
Barringo TP,,5049,,
Newbury TP,,5589,,
Creswick TP,,5211,,
Shirley TP,,5714,,
Barrys Reef TP,,5050,,
Dargo TP,,5223,,
Riddell TP,,5675,,
Barkstead TP,,5044,,
Beveridge TP,,5082,,
Pheasant Creek TP,,5632,,
Miners Rest TP,,5531,,
Buchan TP,,5122,,
Castle Point TP,,5164,,
Bolwarrah TP,,5094,,
Kinglake Central TP,,5421,,
Whittlesea TP,,5855,,
Tylden TP,,5809,,
Lawrence TP,,5456,,
Raglan TP,,5663,,
Lauriston TP,,5454,,
Warrak TP,,5836,,
Reedy Creek TP,,5672,,
Lexton TP,,5462,,
Llanelly TP,,5470,,
Newbridge TP,,5588,,
Natimuk TP,,5578,,
Euroa TP,,5287,,
Lubeck TP,,5482,,
Swanpool TP,,5748,,
Tunstals TP,,5805,,
Freeburgh TP,,5302,,
Nagambie TP,,5570,,
Redcastle TP,,5669,,
Bealiba TP,,5055,,
Axedale TP,,5024,,
Strathfieldsaye TP,,5740,,
Bonnie Doon TP,,5096,,
Bet Bet TP,,5078,,
Clear Lake TP,,5176,,
Natte Yallock TP,,5579,,
Darraweit Guim TP,,5228,,
Cassilis TP,,5161,,
Darlingford TP,,5225,,
Amphitheatre TP,,5010,,
Gelantipy TP,,5312,,
Broadford TP,,5113,,
Yandoit TP,,5896,,
Franklinford TP,,5300,,
Strath Creek TP,,5739,,
Acheron TP,,5002,,
Evansford TP,,5288,,
Lancefield TP,,5450,,
Carlsruhe TP,,5155,,
Dry Diggings TP,,5253,,
Longwood TP,,5477,,
Graytown TP,,5350,,
Callawadda TP,,5142,,
Wal Wal TP,,5825,,
Locksley TP,,5472,,
Edenhope TP,,5266,,
Heatherlie TP,,5374,,
Douglas TP,,5249,,
Gowar TP,,5342,,
Percydale TP,,5630,,
Meringo TP,,5518,,
Avoca TP,,5023,,
Cherokee TP,,5169,,
Queenstown TP,,5662,,
Tarrayoukyan TP,,5768,,
Comoora TP,,5189,,
Grant TP,,5346,,
Wando Vale TP,,5828,,
Cavendish TP,,5165,,
Kinglake East TP,,5422,,
Kalkallo TP,,5402,,
Majorca TP,,5492,,
Lamplough TP,,5449,,
Amherst,,5009,,
Crowlands TP,,5214,,
Guildford TP,,5359,,
Harrow TP,,5368,,
Noradjuha TP,,5601,,
Ghin Ghin TP,,5316,,
Sarsfield TP,,5700,,
Malmsbury TP,,5495,,
Alexandra TP,,5006,,
Albacutya TP,,5004,,
Geelong (City) TP,,5311,,
Stratford TP,,5736,,
"Northcote, City (Jika Jika)",,2796D,,
"Clif/Hill, at Coll. (Jika Jika)",,2796C,,
"Gardiner, at (Prahran)",,3416E,,
Golden Lake TP,,5331,,
Happy Valley TP,,5365,,
Seville TP,,5710,,
Hamilton TP,,5364,,
Waygara TP,,5844,,
Toombon TP,,5794,,
Egerton TP,,5268,,
Wallace TP,,5821,,
Coleraine TP,,5188,,
Narbethong TP,,5574,,
Berwick TP,,5077,,
Swifts Creek TP,,5750,,
Tyrendarra TP,,5811,,
South Muckleford TP,,5724,,
Newstead TP,,5594,,
Old Longwood TP,,5615,,
Bullarto TP,,5126,,
Bullarto South TP,,5127,,
Wallan TP,,5822,,
Spring Hill TP,,5726,,
Tatong TP,,5771,,
Taggerty TP,,5753,,
Iguana Creek TP,,5390,,
Tahara TP,,5754,,
Mossiface TP,,5555,,
Bemm TP,,5065,,
Lilydale TP,,5465,,
Elaine North TP,,5271,,
Berringa TP,,5073,,
