preflabel,definition,notation,altlabel,related
Pelluebla,,3383,,
Drumanure,,2549,,
Pannoobamawm,,3368,,
Wanurp,,3731,,
Karrabumet,,2844,,
Tallygaroopna,,3533,,
Waggarandall,,3697,,
Yabba Yabba,,3928,,
St. James,,3466,,
Charlton East,,2372,,
Bolga,,2173,,
Yackandandah,,3929,,
Carron,,2359,,
Thowgla,,3588,,
Yearinga,,3980,,
Jeffcott,,2789,,
Taripta,,3548,,
Bullioh,,2266,,
Katamatite,,2849,,
Bungil,,2283,,
Norong,,3323,,
Lorquon,,3016,,
Belvoir West,,2110,,
Kanyapella,,2834,,
Berringa,,2126,,
Yarrowalla,,3970,,
Boorhaman,,2192,,
Youanmite,,3995,,
Tharanbegga,,3582,,
Corack East,,2448,,
Yellangip,,3984,,
Corack,,2447,,
Tatonga,,3566,,
Propodollah,,3419,,
Batyik,,2091,,
Borung,,2211,,
Woosang,,3895,,
Balrootan,,2056,,
Kellalac,,2859,,
Noorongong,,3322,,
Nullan,,3332,,
Kiata,,2874,,
Nanneella,,3258,,
Milloo,,3104,,
Diggorra,,2523,,
Pannoomilloo,,3369,,
Kaniva,,2833,,
Yanipy,,3952,,
Bungil East,,2284,,
Cudgewa,,2471,,
Towong,,3644,,
Babatchio,,2037,,
Warracknabeal,,3746,,
Bangerang,,2062,,
Kotupna,,2932,,
Yarrock,,3969,,
Killawarra,,2876,,
Charlton West,,2373,,
Calivil,,2320,,
Meering,,3080,,
Nandemarriman,,3254,,
Curyo,,2477,,
Gunbower,,2732,,
Strathmerton,,3507,,
Cambacanya,,2323,,
Thologolong,,3584,,
Berontha,,2124,,
Yarrangook,,3965,,
Bambadin,,2058,,
Perenna,,3387,,
Wilkur,,3820,,
Areegra,,2026,,
Byawatha,,2316,,
Dinyarrak,,2527,,
Catiabrim,,2367,,
Moray,,3185,,
Whirrakee,,3806,,
Neilborough,,3294,,
Beewar,,2104,,
Karramomus,,2845,,
Kinimakatka,,2883,,
Winiam,,3838,,
Coonooer East,,2438,,
Woraigworm,,3898,,
Carag Carag,,2332,,
Lillimur,,2995,,
Powlett,,3415,,
Warragamba,,3747,,
Devenish,,2519,,
Mokoan,,3141,,
Wyeeboo,,3918,,
Adjie,,2003,,
Dingee,,2526,,
Taminick,,3537,,
Dunmunkle,,2564,,
Pompapiel,,3407,,
Kyabram,,2948,,
Kyabram East,,2949,,
Timmering,,3596,,
Mooroopna,,3177,,
Nariel,,3266,,
Wallup,,3712,,
Janiember East,,2782,,
Yabba,,3927,,
Kewell West,,2870,,
Tallandoon,,3527,,
Girgarre East,,2661,,
Bamawm,,2057,,
Echuca South,,2572,,
Boweya,,2214,,
Katandra,,2850,,
Congupna,,2423,,
Buckrabanyule,,2248,,
Estcourt,,2599,,
Tarranginnie,,3554,,
Ballendella,,2048,,
Greta,,2726,,
Koyuga,,2935,,
Tongala,,3602,,
Myrrhee,,3248,,
Canabore,,2327,,
Wooronook,,3892,,
Jemba,,2791,,
Koetong,,2895,,
Jinjellic,,2803,,
Berringama,,2127,,
Rich Avon East,,3450,,
Rich Avon West,,3451,,
Mockinya,,3133,,
Turrumberry,,3662,,
Mysia,,3250,,
Woorak,,3884,,
Wabba,,3691,,
Ni Ni,,3312,,
Toonambool,,3625,,
Colac Colac,,2406,,
Durndal,,2569,,
Coomboona,,2434,,
Murrawong,,3234,,
Wagra,,3698,,
Cannum,,2330,,
Mirampiram,,3118,,
Werrigar,,3798,,
Mitiamo,,3126,,
Wychitella,,3917,,
Bontherambo,,2180,,
Narrewillock,,3280,,
Granya,,2720,,
Woorragee North,,3894,,
Undera,,3681,,
Millewa,,3103,,
Barambogie,,2067,,
Wallaloo,,3706,,
Warngar,,3743,,
Wirchilleba,,3846,,
Wirrate,,3850,,
Yallook,,3936,,
Wedderburne,,3782,,
Bonn,,2179,,
Coonooer West,,2439,,
Korong,,2926,,
Burnewang,,2295,,
Tamleugh,,3538,,
Dartella,,2500,,
Bridgewater,,2226,,
Colbinabbin,,2407,,
Kamarooka,,2825,,
Bungeet,,2282,,
Mooroopna West,,3178,,
Tandarra,,3540,,
Dookie,,2535,,
Yeungroon,,3991,,
Stanley,,3498,,
Laen,,2954,,
Leeor,,2985,,
Burramboot,,2298,,
Glenalbyn,,2664,,
Brenanah,,2223,,
Jungkum,,2812,,
Cooack,,2427,,
