preflabel,definition,notation,altlabel,related
Bogalara,,2163,,
Geelengla,,2639,,
Weerangourt,,3786,,
Myamyn,,3245,,
Ballangeich,,2044,,
Paaratte,,3360,,
Tildesley West,,3592,,
Colquhoun East,,2413,,
Kunat Kunat,,2941,,
Nowa Nowa South,,3326,,
Boosey,,2201,,
Carlyle,,2349,,
Waarre,,3690,,
La Trobe,,2977,,
St. Margaret,,3467,,
Barwongemoong,,2089,,
Sunday Island,,3511,,
Wangerrip,,3727,,
Snake Island,,3492,,
Aire,,2005,,
Cantala,,2331,,
Welshpool,,3790,,
Tarwin South,,3564,,
Waratah North,,3737,,
Yanakie,,3945,,
Yanakie South,,3946,,
Beek Beek,,2100,,
Warreen,,3758,,
Glenlyon,,2678,,
Rupanyup,,3462,,
Ashens,,2029,,
Moranghurk,,3184,,
Woornyalook,,3891,,
Chepstowe,,2376,,
Bael Bael,,2038,,
Wensleydale,,3793,,
Boonah,,2187,,
Tittybong,,3600,,
Changue,,2369,,
Boorolite,,2194,,
Jallukar,,2778,,
Carlsruhe,,2348,,
Derril,,2515,,
Flowerdale,,2614,,
Kerrie,,2865,,
Macedon,,3027,,
Monbulk,,3146,,
Murrindal West,,3236,,
Beaufort,,2096,,
Mallacoota,,3044,,
Woranga,,3899,,
Yarram Yarram,,3963,,
Wingeel,,3836,,
Darlington,,2492,,
Buxton,,2312,,
Bendock,,2116,,
Cooramook,,2441,,
Steavenson,,3500,,
Framlingham West,,2617,,
Wickliffe North,,3814,,
Baawang,,2036,,
Enochs Point,,2593,,
Coradjil,,2449,,
Woodside,,3874,,
Naringhil North,,3268,,
Golton Golton,,2695,,
Warung,,3768,,
Connewirrecoo,,2426,,
Mooree,,3169,,
Korweinguboora,,2930,,
Wombat,,3857,,
Jung Jung,,2811,,
Kewell East,,2869,,
Castle Donnington,,2365,,
Boga,,2162,,
Ninnie,,3313,,
Malanganee,,3041,,
Marma,,3065,,
Roseneath,,3458,,
Hayanmi,,2748,,
Talambe,,3523,,
Bungal,,2275,,
Yaloak,,3939,,
Killara,,2875,,
Mocamboro,,3132,,
Bungeeltap,,2281,,
Kelfeera,,2858,,
Gre Gre,,2725,,
Dergholm,,2512,,
Youpayang,,3998,,
Tahara,,3522,,
Croxton East,,2469,,
Hexham East,,2754,,
Yarima,,3959,,
Cobboboonee,,2394,,
Darlington West,,2493,,
Minjah North,,3114,,
Mirnee,,3123,,
Colongulac,,2411,,
Lake Lake Wollard,,2956,,
Boodyarn,,2181,,
Toorongo,,3632,,
Garvoc,,2636,,
Nareeb Nareeb,,3265,,
Laang,,2952,,
Kongwak,,2901,,
Wonthaggi North,,3867,,
Glenelg,,2673,,
Wonthaggi,,3866,,
Irrewillipe,,2776,,
Barongarook,,2079,,
Tongaro,,3603,,
Wollonaby,,3856,,
Elingamite,,2583,,
Elliminyt,,2586,,
Koroit,,2925,,
Belfast,,2105,,
Wonyip,,3870,,
Glengower,,2674,,
Boorpool,,2198,,
Caramut South,,2337,,
Allambee East,,2011,,
Allambee,,2010,,
Korumburra,,2929,,
Koorooman,,2917,,
Pirron Yaloak,,3402,,
Borriyalloak,,2210,,
Newlingrook,,3305,,
Balliang,,2049,,
Lara,,2974,,
Batchica,,2090,,
Willenabrina,,3826,,
Carpendeit,,2354,,
Nullawarre,,3333,,
Karngun,,2843,,
Tutegong,,3664,,
Wanalta,,3719,,
Gobarup,,2692,,
Yeo,,3987,,
Fingal,,2612,,
Gerangamete,,2647,,
Wormbete,,3901,,
Wyelangta,,3919,,
Rochester,,3453,,
Rochester West,,3454,,
Brucknell,,2240,,
Buckland,,2247,,
Hilgay,,2757,,
Wurdi-Youang,,3910,,
Gnarkeet,,2688,,
Poliah North,,3403,,
Timboon,,3595,,
Phillip Island,,3389,,
Parwan,,3375,,
Bambra,,2059,,
Murroon,,3239,,
Carori,,2353,,
Byanga,,2315,,
Meeniyan,,3077,,
Bruthen,,2242,,
Turkeeth,,3660,,
Cooriejong,,2442,,
Wiridjil,,3847,,
Balloong,,2050,,
Glendale,,2670,,
Bootahpool,,2202,,
Mohican,,3137,,
Tarra Tarra,,3557,,
Galaquil,,2627,,
Concongella South,,2419,,
Ararat,,2020,,
Coongulla,,2435,,
Naringhil South,,3269,,
Jancourt,,2781,,
Mullungdung,,3217,,
Cornella,,2455,,
Yan Yan Gurt,,3954,,
Otway,,3357,,
Wallinduc,,3709,,
Wilgul North,,3816,,
Kulk,,2938,,
Dargalong,,2487,,
Noorilim,,3320,,
Wahring,,3699,,
Murndal,,3228,,
Tallang,,3528,,
Natte Murrang,,3286,,
Bogong South,,2165,,
Milmed,,3105,,
Tyamoonya,,3669,,
Yaapeet,,3926,,
Albacutya,,2006,,
Kurnbrunin,,2943,,
Chinaman Flat,,2383,,
Baangal,,2035,,
Dooen,,2534,,
Longerenong,,3009,,
Horsham,,2764,,
Drung Drung,,2553,,
Stewarton,,3501,,
Kimbolton,,2879,,
Lyell,,3023,,
Corop,,2456,,
Burramboot East,,2299,,
Changue East,,2370,,
Panmure,,3367,,
Carrajung,,2356,,
Bailieston,,2041,,
Tabilk,,3520,,
Mitchell,,3125,,
Taggerty,,3521,,
Codrington,,2402,,
Eumeralla,,2604,,
Jumbunna East,,2810,,
Strangways,,3503,,
Sandon,,3474,,
Towamba,,3639,,
Budgerum East,,2251,,
Budgerum West,,2252,,
Tchuterr,,3570,,
Carisbrook,,2347,,
Moolort,,3155,,
Kuark,,2937,,
Matong North,,3075,,
Tooborac,,3611,,
Caramut,,2336,,
Quamby North,,3435,,
Tanjil East,,3543,,
Windham,,3834,,
Kinglake,,2881,,
Bunyip,,2290,,
Glenormiston,,2683,,
Marida Yallock,,3062,,
Stawell,,3499,,
Loyola,,3019,,
Howqua West,,2769,,
Warrock,,3764,,
Nangeela,,3256,,
Mount Cole,,3198,,
Tarrawarra North,,3559,,
Howqua,,2768,,
Warrak,,3750,,
Mooradoranook,,3164,,
Yangardook,,3948,,
Mouyong,,3201,,
Bulban,,2254,,
Wataepoolan,,3769,,
Glenaulin,,2666,,
Bundalaguah,,2271,,
Wooundellah,,3896,,
Warracbarunah,,3745,,
Hazelwood,,2749,,
Yinnar,,3993,,
Jeeralang,,2786,,
Mirboo South,,3120,,
Dumbalk,,2559,,
Moorbanool,,3168,,
Barramunga,,2082,,
Olangolah,,3350,,
Kirkella,,2887,,
Glynwylln,,2687,,
Noojee,,3317,,
Noojee East,,3318,,
Granton,,2719,,
Warrong,,3765,,
Nullawil,,3334,,
Kalpienung,,2823,,
Whirily,,3805,,
Carapugna,,2341,,
Cooroopajerrup,,2445,,
Ninyeunook,,3314,,
Barrakee,,2081,,
Goorambat,,2704,,
Goomalibee,,2698,,
Berrimal,,2125,,
Benalla,,2113,,
Dueran,,2556,,
Barwite,,2086,,
Woodend,,3872,,
Trentham,,3649,,
Blackwood,,2160,,
Moorarbool East,,3166,,
Coimadai,,2404,,
Warrayure,,3757,,
Yuonga,,4003,,
Werribee,,3797,,
Tarrawarra,,3558,,
Toongabbie South,,3627,,
Gruyere,,2729,,
Rosedale,,3457,,
Loy Yang,,3020,,
Narracan South,,3274,,
Trewalla,,3650,,
Portland,,3414,,
Tylden,,3673,,
Holey Plains,,2762,,
Buttlejorrk,,2311,,
Bollinda,,2174,,
Morang,,3183,,
Stratford,,3504,,
Nuntin,,3341,,
Linton,,3000,,
Boho,,2166,,
Harrow,,2745,,
Elphinstone,,2589,,
Edgecombe,,2576,,
Wonga Wonga,,3862,,
Doomburrim,,2537,,
Wonga Wonga South,,3863,,
Waratah,,3736,,
Mullindolingong,,3215,,
Freeburgh,,2620,,
Kancobin,,2828,,
Keelbundora,,2856,,
Mitta Mitta,,3127,,
Cut-Paw-Paw,,2478,,
Kosciusko,,2931,,
Magorra,,3033,,
Moyangul,,3204,,
Amherst,,2012,,
Eglinton,,2579,,
Knockwood,,2891,,
Tarldarn,,3550,,
Lauraville,,2978,,
Goulburn,,2713,,
St. Clair,,3464,,
Merrimu,,3095,,
Mortchup,,3195,,
Korkuperrimul,,2922,,
Woori Yallock,,3888,,
Beenak,,2101,,
Paywit,,3380,,
Leongatha,,2987,,
Nerrena,,3300,,
Kialla,,2872,,
Boroondara,,2209,,
Toolamba,,3612,,
Yangerahwill,,3949,,
Lillirie,,2997,,
Prahran,,3416,,
Mulgrave,,3212,,
Greensborough,,2724,,
Sutton,,3513,,
Nillumbik,,3310,,
Warrandyte,,3753,,
Gembrook,,2645,,
Berwick,,2131,,
Glenrowen,,2685,,
Yonduk,,3994,,
Kaerwut,,2816,,
Darbalang,,2486,,
Macorna,,3028,,
Telangatuk,,3572,,
Loddon,,3007,,
Mincha West,,3108,,
Raglan West,,3440,,
Buangor,,2243,,
Eurambeen,,2605,,
Jarklan,,2785,,
Croxton West,,2470,,
Kobyboyn,,2894,,
Tarrawingee,,3560,,
Dorchap,,2539,,
Clarendon,,2387,,
Pendyk Pendyk,,3384,,
Maribyrnong,,3061,,
Drouin East,,2547,,
Drouin West,,2548,,
Carraragarmungee,,2358,,
Kinypanial,,2885,,
Trawalla,,3648,,
Janiember West,,2783,,
Dunolly,,2567,,
Eddington,,2574,,
Bet Bet,,2133,,
Tongio-Munjie West,,3607,,
Tongio-Munjie East,,3606,,
Enfield,,2592,,
Brewster,,2224,,
Towanway,,3642,,
Wandin Yallock,,3721,,
Chatsworth,,2374,,
Mambourin,,3047,,
Cocoroc,,2401,,
Yalong,,3940,,
Lillicur,,2994,,
Melbourne North,,3083,,
Woolamai,,3878,,
Doutta Galla,,2541,,
Jika Jika,,2796,,
Pakenham,,3363,,
Melbourne South,,3084,,
Scoresby,,3478,,
Narree Worran,,3279,,
Hotham,,2765,,
Yertoo,,3989,,
Kybeyan,,2950,,
Graham,,2718,,
Cooma,,2433,,
Bulgaback,,2256,,
Buckenderra,,2245,,
Barroworn,,2084,,
Jeetho West,,2788,,
Jeetho,,2787,,
Tarneit,,3552,,
Truganina,,3651,,
Tangambalanga,,3541,,
Kergunyah North,,2864,,
Kergunyah,,2863,,
Gundowring,,2734,,
Porepunkah,,3413,,
Wandiligong,,3720,,
Whorouly,,3810,,
Lima,,2998,,
Terlite-Munjie,,3576,,
Kerrisdale,,2866,,
Broadford,,2235,,
Merbein,,3089,,
Yelta,,3985,,
Strathbogie,,3505,,
Chatsworth West,,2375,,
Too-Rour,,3633,,
Nirranda,,3315,,
Nar-Nar-Goon,,3272,,
Narrawaturk,,3277,,
Mullagong,,3213,,
Moolap,,3153,,
Barwon Downs,,2088,,
Yaugher,,3978,,
Corio,,2454,,
Conewarre,,2421,,
Puebla,,3421,,
Ruffy,,3460,,
Dropmore,,2546,,
Bulleen,,2264,,
Nunawading,,3337,,
Moorpanyal,,3179,,
Nepean,,3297,,
Giffard,,2653,,
Jan Juc,,2784,,
Angahook,,2015,,
Darriman,,2497,,
Krambruk,,2936,,
Goolengook,,2697,,
Winyar,,3844,,
Nungal,,3338,,
Will-Will-Rook,,3831,,
Bagshot,,2039,,
Goornong,,2706,,
Ellesmere,,2585,,
Bingo-Munjie North,,2151,,
Timbarra,,3593,,
Cobungra,,2398,,
Laanecoorie,,2951,,
Caramballuc North,,2334,,
Glenmaggie,,2679,,
Toongabbie North,,3626,,
El Dorado,,2582,,
Woorragee,,3893,,
Beechworth,,2099,,
Benjeroop,,2120,,
Cranbourne,,2462,,
Djerriwarrh,,2528,,
Tara,,3546,,
Langi-Kal-Kal,,2965,,
Raglan,,3439,,
Meredith,,3090,,
Moreep,,3188,,
Connewarren,,2425,,
Yeth-Youang,,3990,,
Ellerslie,,2584,,
Dartagook,,2499,,
Moonip,,3159,,
Bindi,,2148,,
Wermatong,,3795,,
Kororoit,,2927,,
Streatham,,3508,,
Deutgam,,2518,,
Waanyarra,,3689,,
Bingo-Munjie,,2150,,
Omeo,,3352,,
Bulla Bulla,,2258,,
Holden,,2761,,
Birregurra,,2156,,
Whoorel,,3809,,
Dederang,,2505,,
Tragowel,,3646,,
Murrungowar,,3240,,
Curlip,,2473,,
Tawanga,,3568,,
Cohuna,,2403,,
Doledrook,,2530,,
Licola,,2991,,
Bulart,,2253,,
Jerrywarook,,2794,,
Toolka,,3616,,
Bonegilla,,2178,,
Wodonga,,3854,,
Darlingford,,2491,,
Thornton,,3587,,
Banyarmbite,,2064,,
Lodge Park,,3008,,
Mellick-Munjie,,3085,,
Windarra,,3833,,
Orbost East,,3356,,
Chiltern,,2381,,
Maffra,,3029,,
Tinamba,,3597,,
Yarragon,,3962,,
Narrawong,,3278,,
Narracan,,3273,,
Bolwarra,,2175,,
Baranduda,,2068,,
Corryong,,2457,,
Indi,,2772,,
Enano,,2591,,
Numbie-Munjie,,3335,,
Angora,,2016,,
Eumana,,2602,,
Meerlieu,,3082,,
Bengworden South,,2119,,
Balmoral,,2053,,
Seacombe,,3479,,
Darraweit Guim,,2496,,
Merriang,,3093,,
Mickleham,,3100,,
Bungamero,,2277,,
Witchipool,,3852,,
Banyenong,,2066,,
Chiltern West,,2382,,
Lilliput,,2996,,
Fryers,,2622,,
Holcombe,,2760,,
Yalong South,,3941,,
Goongerah,,2701,,
Wat Wat,,3778,,
Moorabbin,,3163,,
Tong Bong,,3604,,
Callignee,,2322,,
Caralulup,,2333,,
Amphitheatre,,2013,,
Tyabb,,3666,,
Bittern,,2159,,
Lexton,,2989,,
Harrietville,,2744,,
Nanimia,,3257,,
Skipton,,3489,,
Balnarring,,2054,,
Mardan,,3059,,
Kallery,,2822,,
Beulah,,2137,,
Commeralghip,,2417,,
Kuruc-A-Ruc,,2947,,
Mindai,,3109,,
Dereel,,2511,,
Nayook,,3289,,
Barnoolut,,2078,,
Wando,,3722,,
Neerim,,3292,,
Jindivick,,2801,,
Ondit,,3353,,
Drajurk,,2543,,
St. Helens,,3465,,
Toora,,3630,,
Warburton,,3738,,
Ellinging,,2587,,
Eildon,,2580,,
Wilkin,,3819,,
Werrikoo,,3799,,
Myaring,,3246,,
Dartmoor,,2501,,
Warina,,3741,,
Kinkella,,2884,,
Drik Drik,,2545,,
Balrook,,2055,,
Watchegatcheca,,3770,,
Tarrayoukyan,,3561,,
Dewrang,,2521,,
Brim Brim,,2230,,
Turrumberry North,,3663,,
Wonwondah,,3868,,
Nurrabiel,,3345,,
Purdeet,,3423,,
Yatmerone,,3975,,
Wail,,3700,,
Myrtleford,,3249,,
Quantong,,3436,,
Natimuk,,3285,,
Gnarwarre,,2690,,
Murdeduke,,3224,,
Carrung-E-Murnong,,2360,,
Yalmy,,3938,,
Booran,,2190,,
Barwidgee,,2085,,
Bright,,2227,,
Yambulla,,3943,,
Langwarrin,,2972,,
Sherwood,,3487,,
Theddora,,3583,,
Chintin,,2385,,
Havelock,,2746,,
Buckeran Yarrack,,2246,,
Boola Boloke,,2182,,
Lochiel,,3005,,
Moyreisk,,3206,,
Bundara-Munjie,,2273,,
Bingo-Munjie South,,2152,,
Kolora,,2898,,
Glencoe,,2668,,
Whitfield South,,3808,,
Molesworth,,3142,,
Acheron,,2001,,
Buchan,,2244,,
Pinnak,,3398,,
Orbost,,3355,,
Glenaladale,,2663,,
Dulungalong,,2558,,
Napier,,3260,,
Yan Yean,,3955,,
Warrenheip,,3760,,
Kerrit Bareet,,2867,,
Jingallala,,2802,,
Toolome,,3618,,
Tubbut,,3652,,
Caramballuc South,,2335,,
Colquhoun North,,2414,,
Vite Vite,,3687,,
Deddick,,2504,,
Lynchfield,,3024,,
Beremboke,,2123,,
Wurrook,,3912,,
Tonimbuk East,,3609,,
Barrarbool,,2083,,
Koo-Wee-Rup East,,2921,,
Lauriston,,2979,,
Burke,,2293,,
Gellibrand,,2644,,
Grassdale,,2721,,
Vectis East,,3686,,
Bungalally,,2276,,
Darragan,,2495,,
Gooramadda,,2703,,
Barnawartha North,,2076,,
Beethang,,2103,,
Wangaratta North,,3725,,
Murramurrangbong,,3232,,
Wangaratta South,,3726,,
Queenstown,,3437,,
Currawa,,2475,,
Gowangardie,,2714,,
Upotipotpon,,3684,,
Merrijig,,3094,,
Gonzaga,,2696,,
Beolite,,2121,,
Purgagoolah,,3425,,
Hinno-Munjie,,2759,,
Jirrah,,2805,,
Jilwain,,2799,,
Tabbara,,3518,,
Woodstock,,3875,,
Nindoo,,3311,,
Coongulmerang,,2436,,
Bengworden,,2118,,
Avoca,,2032,,
Yuroke,,4005,,
Tullamarine,,3654,,
Ringwood,,3452,,
Digby,,2522,,
Nowa Nowa,,3325,,
Bete Bolong South,,2135,,
Enuc,,2595,,
Moolpah,,3156,,
Lal Lal,,2959,,
Coornburt,,2443,,
Boonderoot,,2189,,
Kanawalla,,2826,,
Shelford West,,3485,,
Ligar,,2993,,
Greenhills,,2723,,
Jellalabad,,2790,,
Tonimbuk,,3608,,
Cundare,,2472,,
Woolsthorpe,,3880,,
Moolerr,,3154,,
Winjallok,,3839,,
Nayook West,,3290,,
Whitfield,,3807,,
Walhalla East,,3703,,
Winnindoo,,3841,,
Traralgon,,3647,,
Alexandra,,2009,,
Clunes,,2391,,
Bullarook,,2261,,
Smeaton,,3490,,
Tourello,,3638,,
Spring Hill,,3495,,
Wulla Wullock,,3909,,
Worrowing,,3904,,
Moe,,3135,,
Narrobuk North,,3282,,
Yannathan,,3953,,
Narrobuk,,3281,,
Wharparilla,,3804,,
Joel Joel,,2806,,
Echuca North,,2571,,
Longwarry,,3011,,
Lang Lang East,,2969,,
Poowong,,3411,,
Knowsley East,,2893,,
Mirboo,,3119,,
Gunyah Gunyah,,2736,,
Cabanandra,,2319,,
Kirkenong,,2888,,
Switzerland,,3516,,
Budgeree,,2250,,
Ghin Ghin,,2651,,
Killingworth,,2877,,
Narbourac,,3264,,
Warrambat,,3751,,
Woorarra,,3885,,
Malakoff,,3040,,
Kevington,,2868,,
Woodbourne,,3871,,
Lalkaldarno,,2958,,
Stradbroke,,3502,,
Dalyenong,,2482,,
Archdale,,2023,,
Towaninny,,3641,,
Quambatook,,3433,,
Tatong,,3565,,
Billian,,2144,,
Jeparit,,2793,,
Monda,,3147,,
Willaura,,3825,,
Mellier,,3086,,
Stander,,3497,,
Myrniong,,3247,,
Gracedale,,2717,,
Darnum,,2494,,
Warragul,,3748,,
Tallangoork,,3531,,
Warrabkook,,3744,,
Winyayung,,3845,,
Byaduk,,2313,,
Hotspur,,2766,,
Bunguluke,,2285,,
Glenhope,,2675,,
Emberton,,2590,,
Mirimbah,,3121,,
Delatite,,2506,,
Yandoit,,3947,,
Franklin,,2618,,
Merrymbuela,,3097,,
Langi Logan,,2966,,
Helendoite,,2751,,
Yalla-Y-Poora,,3934,,
Burrah Burrah,,2297,,
Tatyoon,,3567,,
Bunnugal,,2288,,
Nungatta,,3339,,
Dunkeld,,2562,,
Maryvale,,3072,,
Crowlands,,2468,,
Moomowroong,,3157,,
Weeaproinah,,3783,,
Pomponderoo,,3409,,
Duchembegarra,,2554,,
Cowa,,2459,,
Tyrendarra,,3677,,
Kowat,,2934,,
Coopracambra,,2440,,
Bullumwaal,,2267,,
Tambo,,3534,,
Sarsfield,,3476,,
Gillum,,2655,,
Yangoura,,3951,,
Whanregarwen,,3803,,
Denison,,2508,,
Tanjil,,3542,,
Yambuk,,3942,,
Mildura,,3102,,
Ballarat,,2046,,
Bullarto,,2262,,
Cardigan,,2344,,
Murmungee,,3227,,
Willung,,3830,,
Budgee Budgee,,2249,,
Cobbannah,,2393,,
Moornapa,,3173,,
Jeruk,,2795,,
Marlooh,,3064,,
Wycheproof,,3916,,
Glenloth,,2677,,
Rothesay,,3459,,
Rodborough,,3456,,
Toombullup North,,3624,,
Niagaroon,,3308,,
Moorngag,,3174,,
Kiora,,2886,,
Numbruk,,3336,,
Toombullup,,3623,,
Clonleigh,,2390,,
Boola Boola,,2183,,
Adzar,,2004,,
Pywheitjorrk,,3431,,
Corinella,,2453,,
Jumbunna,,2809,,
Maintongoon,,3038,,
Yea,,3979,,
Murrindindi,,3237,,
Bemboka,,2111,,
Wonnangatta,,3865,,
Waygara,,3781,,
Newmerella,,3306,,
Miowera,,3117,,
Broadlands,,2236,,
Tildesley East,,3591,,
Briagolong,,2225,,
Wa-De-Lock,,3695,,
Burrumbeep,,2304,,
Gritjurk,,2728,,
Toolang,,3614,,
Quamby,,3434,,
Kangertong,,2832,,
Willatook,,3824,,
Condah,,2420,,
Dunmore,,2563,,
Homerton,,2763,,
Eumemmerring,,2603,,
Kangerong,,2831,,
Nillahcootie,,3309,,
Kout Narin,,2933,,
Maindample,,3037,,
Wytwallan,,3922,,
Dandenong,,2483,,
Noonga,,3319,,
Wau Wauka West,,3780,,
Maramingo,,3058,,
Yangery,,3950,,
Wangoom,,3729,,
Livingstone,,3004,,
Tullyvea,,3656,,
Tarranyurk,,3556,,
Banu Bonyit,,2063,,
Katyil,,2853,,
Kingower,,2882,,
Mudgeegonga,,3210,,
Kangderaar,,2830,,
Kirrak,,2889,,
Drumdlemara,,2551,,
Burrum Burrum,,2306,,
Gowar,,2715,,
Maharatta,,3034,,
Gorong,,2709,,
Tintaldra,,3599,,
Gorrockburkghap,,2711,,
