preflabel,definition,notation,altlabel,related
Existing,"A mark of any type that was existing at the time of the cadastral survey. For these marks, the condition defines what condition the mark is in when it was located.",existing,,
New,A mark of any type that is created as part of the cadastral survey,new,,
Proposed,,proposed,,
