preflabel,definition,notation,altlabel,related
Least Squares Adjustment (Phase 1),Phase 1 Least Square Adjustment - minimally constrained?,D,,
Traverse Adjustment,Traverse Adjustment - generally all traditional surveys that are not precalculated.,T,,
Map Projection Transformation,Transformation - Map Projection Conversions,F,,
Coordinate entry,Keyed In - e.g. by co ordinates,K,,
Graphical,"Graphical Construction - e.g. CO-GO, calculated, digitised",G,,
Least Squares Adjustment (Phase 2),Phase 2 Least Square Adjustment - fully constrained?,L,,
Precalculated,Precal - all SSA surveys,P,,
