preflabel,definition,notation,altlabel,related
Freehold,Parcel is Freehold Land,freehold,,
Crown,Parcel is Crown Land,crown,,
Leasehold,Parcel is Leasehold,leasehold,,
Community Titles (Land) Scheme,Plan is Community Title,community-titles-land-scheme,,
Community Titles (Building) Scheme,Plan is Community Title,community-titles-building-scheme,,
