preflabel,definition,notation,altlabel,related
Lot,,lot,,
Stage Lot,,stage-lot,,
Road,,road,,
Reserve,,reserve,,
Common Property,,common-property,,
Crown Allotment,,crown-allotment,,
Crown Portion,,crown-portion,,
Owners Corporation,,owners-corporation,,
