preflabel,definition,notation,altlabel,related
Affected,An existing parcel subject to amendment due to new boundary adoption from an abutting parcel,affected,,
Created,A new parcel being created in a plan (e.g. (PS) plan of subdivision; (OP) original plan,created,,
Encroached,An existing parcel encroached by a new boundary adoption from an abutting parcel,encroached,,
Existing,A parcel that exists on the cadastre and the boundaries are not affected,existing,,
Cancelled,An existing parcel subject to cancellation,cancelled,,
Removed,An easement / restriction subject to removal,removed,,
